,date,author,text,followers,status,favourites,retweets,replies,quotes,media,word_count,char_count,stop_words,#tag,@,numaric,upercase,URLs,emojis_count,emojis
0,2022-11-26 09:29:42+00:00,GBlackburnwrite,vss mawfreda next door savour each bite of er mac cheese annie tother side o I she have he be suckin on key lime pie from my plate waft fry onion salty bacon amp fry egg ram an egg into my maw yolk dribble down my chin my last meal go to be go quick ,901,2617,19697,4,1,0,0,52,284,13,2,0,0,0,0,0,
1,2022-09-22 15:14:12+00:00,akirakibo,friend tell I last night he usually eat one meal a day not that weird imo but it have it be usually just like bean on toast or whatever I make a joke about scurvy and he say no no I know about scurvy when I realise its be a week since my last fruit I just have a lime ,1405,92046,75965,32,3,4,0,57,271,27,0,0,0,4,0,0,
2,2022-09-22 06:19:02+00:00,surayaror,I wanna share how I stretch my grocery budget buy whole chicken because it have it be cheap per kg marinade thighs wing amp breast for meal - serving turn chicken bone into soup for meal - serving picture be coriander lime chicken and sup bunjut ,61599,57982,22438,267,6,12,2,49,296,10,0,0,2,2,1,3,⏩⏩😋
3,2022-10-25 20:14:48+00:00,OddVancouver,warm centre be get ready for this season look for donation of sock tshirt glove toque dry bag sleep bag granola bar juice box bus ticket gift card to tim etc or cash for we to buy these item vancouver homelessness oddfellow ,203,132,25,33,3,1,0,42,266,11,3,0,0,0,0,0,
4,2022-06-09 19:45:14+00:00,MeNigeStew,see a tv ad for a date site meet like minded single over it say I be sit here eat dry granola from a tupperware box only get one slipper on and the lounge be full of recording equipment and exercise weight and I have no idea where the remote be ,4293,62873,118752,4,46,2,0,50,258,20,0,0,0,1,0,0,
5,2022-05-18 03:59:17+00:00,TylerRittinger,here the biketoworkday forecastbut there have there be no bad weather if you be prepare ecoqu will be under the tent with hot chocolate granola bar prize and a dry stop on your commute byxe more info ,887,5645,11376,4,1,0,1,36,272,12,2,1,0,1,2,0,
6,2022-12-03 04:26:54+00:00,ashy_kneez,tri - tip very versatile flavorful piece of meat smoke - hourswe have tri tip sammiche smother in grill white n red onion and homemade sweet thai chili bbq sauce on french breadtri tip nachos with queso and habanero salsaperfect for game day app ,1213,139277,55698,3,1,0,3,48,305,9,0,1,0,0,1,4,👨🏾‍🍳💛❤️✌🏾
7,2022-05-18 22:38:26+00:00,monicewrld,smother burrito with lentil amp impossible queso flauta ,1041,12780,19580,5,3,1,2,10,89,1,0,0,0,0,1,2,🌱🔥
8,2022-10-27 12:15:09+00:00,radicrow,its funny that elezen lore state that elezen man be usually more mild mannered than elezen woman but its really just comparatively because we keep meet really nutty elezen man ,1962,87105,45593,241,16,16,0,30,180,14,0,0,0,0,0,0,
9,2022-10-13 17:37:55+00:00,KitchenSanc2ary,chicken pakora - tender chicken marinate in a blend of fragrant spice then coat in a chickpea flour - base batter for that signature mild nutty taste fry until beautifully golden and crisp pakora glutenfree fakeaway ,76551,66079,61076,92,9,11,1,36,277,10,3,0,0,0,2,2,😍😋
